product_id,product_name,Total_Qty,Total_Sales
P04363,"Indomie Product 4363",154,3034757.65
P05849,"Milo Product 5849",155,2949148.28
P08681,"Dettol Product 8681",223,2884628.92
P00677,"Peak Product 677",184,2795694.86
P04291,"Golden Penny Product 4291",178,2779947.56
P03834,"Nestle Product 3834",139,2671939.31
P09282,"Dettol Product 9282",136,2620042.18
P00043,"Dangote Product 43",179,2583740.07
P04709,"Peak Product 4709",167,2516929.59
P05866,"Milo Product 5866",126,2486559.25
P04521,"Power Oil Product 4521",146,2484846.60
P01649,"Dangote Product 1649",135,2467939.91
P05061,"Golden Penny Product 5061",115,2447913.38
P03319,"Peak Product 3319",136,2429733.86
P04300,"Nestle Product 4300",161,2382086.65
P00293,"Power Oil Product 293",143,2367718.57
P08185,"Milo Product 8185",139,2312292.27
P03949,"Milo Product 3949",120,2296547.38
P05886,"Dettol Product 5886",196,2292269.33
P00836,"Milo Product 836",98,2275915.04
P02074,"Nestle Product 2074",165,2264397.51
P03509,"Power Oil Product 3509",98,2242453.40
P09649,"Nestle Product 9649",113,2236867.98
P00818,"Golden Penny Product 818",145,2227969.41
P06575,"Nestle Product 6575",160,2219360.18
P00856,"Indomie Product 856",105,2206014.13
P06667,"Dangote Product 6667",93,2202770.59
P07303,"Golden Penny Product 7303",161,2202650.16
P02920,"Nestle Product 2920",123,2186131.34
P06978,"Nestle Product 6978",107,2180908.92
P07968,"Peak Product 7968",101,2170753.73
P04983,"Milo Product 4983",130,2170282.21
P06962,"Power Oil Product 6962",132,2137959.08
P08203,"Milo Product 8203",108,2136724.18
P02394,"Nestle Product 2394",124,2133212.80
P08137,"Nestle Product 8137",133,2123827.13
P06914,"Power Oil Product 6914",153,2114244.93
P04929,"Power Oil Product 4929",130,2112275.31
P02557,"Dangote Product 2557",122,2107613.18
P02459,"Peak Product 2459",130,2097607.13
P01782,"Milo Product 1782",130,2095206.83
P07988,"Dangote Product 7988",123,2090750.52
P07046,"Nestle Product 7046",174,2075854.67
P03449,"Power Oil Product 3449",112,2066901.03
P07948,"Nestle Product 7948",103,2059388.53
P02057,"Peak Product 2057",100,2058413.90
P05511,"Indomie Product 5511",222,2053441.05
P07752,"Nestle Product 7752",144,2049266.79
P00060,"Power Oil Product 60",145,2048490.42
P07234,"Milo Product 7234",111,2037895.62
P08548,"Nestle Product 8548",96,2031011.99
P09094,"Golden Penny Product 9094",94,2029157.51
P02400,"Indomie Product 2400",95,2018615.97
P02970,"Dangote Product 2970",83,2009131.80
P09791,"Nestle Product 9791",98,2007840.17
P02849,"Golden Penny Product 2849",110,2005514.86
P00619,"Dettol Product 619",86,2000182.76
P00151,"Golden Penny Product 151",116,1997785.46
P01646,"Peak Product 1646",123,1997230.82
P09960,"Dettol Product 9960",109,1978494.93
P03936,"Golden Penny Product 3936",115,1973668.40
P06957,"Nestle Product 6957",105,1973141.24
P07225,"Power Oil Product 7225",88,1969556.45
P09074,"Golden Penny Product 9074",124,1957154.36
P05825,"Golden Penny Product 5825",135,1952966.02
P07395,"Peak Product 7395",108,1937939.50
P06741,"Dettol Product 6741",90,1919125.89
P06379,"Indomie Product 6379",114,1909833.87
P04437,"Nestle Product 4437",143,1908836.59
P05052,"Dangote Product 5052",137,1904960.10
P08965,"Nestle Product 8965",100,1897178.40
P09496,"Nestle Product 9496",109,1877461.36
P03811,"Indomie Product 3811",113,1868229.54
P09403,"Golden Penny Product 9403",88,1859705.63
P02511,"Peak Product 2511",116,1858479.93
P02396,"Peak Product 2396",90,1857120.32
P05386,"Dangote Product 5386",84,1850432.84
P09721,"Power Oil Product 9721",85,1846548.48
P01349,"Power Oil Product 1349",94,1845006.20
P00243,"Power Oil Product 243",137,1843497.81
P01164,"Indomie Product 1164",113,1837261.33
P02934,"Dettol Product 2934",112,1831545.33
P04292,"Indomie Product 4292",95,1826393.17
P01351,"Peak Product 1351",120,1825157.30
P00701,"Peak Product 701",85,1823568.43
P05964,"Milo Product 5964",88,1822340.44
P08613,"Peak Product 8613",119,1815637.97
P06546,"Power Oil Product 6546",84,1813018.98
P06118,"Peak Product 6118",89,1812791.49
P06932,"Milo Product 6932",79,1810724.83
P06427,"Milo Product 6427",82,1797370.82
P03175,"Power Oil Product 3175",88,1796111.88
P04133,"Golden Penny Product 4133",139,1794473.17
P06485,"Golden Penny Product 6485",121,1784996.18
P04085,"Peak Product 4085",87,1784223.72
P00908,"Peak Product 908",82,1783587.69
P04309,"Nestle Product 4309",121,1779604.90
P05288,"Milo Product 5288",135,1779420.95
P06819,"Dettol Product 6819",89,1773046.03
P00950,"Dangote Product 950",75,1771961.04
P09817,"Power Oil Product 9817",131,1763704.15
P01517,"Dangote Product 1517",151,1762445.89
P03721,"Indomie Product 3721",114,1761944.56
P04278,"Golden Penny Product 4278",107,1761014.23
P02575,"Golden Penny Product 2575",112,1760456.41
P09133,"Peak Product 9133",119,1743520.12
P01817,"Milo Product 1817",82,1735804.24
P02536,"Power Oil Product 2536",118,1734804.42
P07055,"Power Oil Product 7055",119,1719058.25
P09661,"Dettol Product 9661",121,1718770.73
P02256,"Dettol Product 2256",115,1718108.01
P03233,"Golden Penny Product 3233",98,1717737.41
P09734,"Dangote Product 9734",80,1716468.38
P08132,"Milo Product 8132",91,1715832.65
P01610,"Indomie Product 1610",130,1709014.80
P01863,"Nestle Product 1863",86,1704829.46
P09771,"Power Oil Product 9771",74,1703715.34
P00813,"Dangote Product 813",112,1700814.31
P01854,"Peak Product 1854",80,1696199.56
P06008,"Dangote Product 6008",112,1696106.23
P08539,"Dangote Product 8539",93,1694010.15
P07217,"Milo Product 7217",94,1692419.76
P02797,"Dettol Product 2797",120,1690589.76
