store_id,branch_name,Total_Qty,Total_Sales
ST04337,"Bokku Branch 4337",134,3251681.35
ST06988,"Bokku Branch 6988",170,3071796.75
ST00170,"Bokku Branch 170",179,3040309.72
ST09630,"Bokku Branch 9630",156,2998929.98
ST01038,"Bokku Branch 1038",168,2980902.12
ST02462,"Bokku Branch 2462",146,2824506.56
ST09261,"Bokku Branch 9261",165,2783565.41
ST05388,"Bokku Branch 5388",259,2703819.82
ST02265,"Bokku Branch 2265",138,2661516.23
ST01096,"Bokku Branch 1096",111,2645225.89
ST03979,"Bokku Branch 3979",185,2627992.40
ST06069,"Bokku Branch 6069",118,2572483.02
ST05980,"Bokku Branch 5980",171,2555447.77
ST07632,"Bokku Branch 7632",155,2491563.76
ST05044,"Bokku Branch 5044",164,2488874.67
ST08590,"Bokku Branch 8590",123,2455596.51
ST07217,"Bokku Branch 7217",133,2379763.16
ST00983,"Bokku Branch 983",158,2370448.36
ST03636,"Bokku Branch 3636",127,2311967.28
ST04729,"Bokku Branch 4729",117,2311549.01
ST03156,"Bokku Branch 3156",128,2291052.89
ST08529,"Bokku Branch 8529",138,2288894.71
ST03045,"Bokku Branch 3045",131,2257029.05
ST07219,"Bokku Branch 7219",138,2243700.50
ST00095,"Bokku Branch 95",105,2219038.43
ST08095,"Bokku Branch 8095",127,2196605.94
ST02333,"Bokku Branch 2333",117,2189836.06
ST09507,"Bokku Branch 9507",113,2178115.48
ST01745,"Bokku Branch 1745",134,2137263.52
ST00570,"Bokku Branch 570",123,2112844.29
ST06561,"Bokku Branch 6561",94,2110178.41
ST00711,"Bokku Branch 711",129,2098072.89
ST06557,"Bokku Branch 6557",125,2080927.75
ST01620,"Bokku Branch 1620",117,2038235.44
ST06703,"Bokku Branch 6703",92,2034006.01
ST05476,"Bokku Branch 5476",128,2020094.85
ST06488,"Bokku Branch 6488",109,2014804.31
ST04217,"Bokku Branch 4217",85,2012679.90
ST05701,"Bokku Branch 5701",87,2005863.27
ST06324,"Bokku Branch 6324",157,2005294.83
ST02935,"Bokku Branch 2935",147,2000360.09
ST01373,"Bokku Branch 1373",106,1992945.07
