product_name,Sales_Year,Sales_Month,Sales_Month_Number,Monthly_Sales
"Indomie Product 4363",2025,January,1,3034757.65
"Milo Product 5849",2025,April,4,2949148.28
"Dettol Product 8681",2025,May,5,2884628.92
"Peak Product 677",2025,March,3,2795694.86
"Golden Penny Product 4291",2025,June,6,2779947.56
"Nestle Product 3834",2025,January,1,2671939.31
"Dettol Product 9282",2026,January,1,2620042.18
"Dangote Product 43",2025,August,8,2583740.07
"Peak Product 4709",2025,July,7,2516929.59
"Milo Product 5866",2025,November,11,2486559.25
"Power Oil Product 4521",2025,August,8,2484846.60
"Dangote Product 1649",2025,April,4,2467939.91
"Golden Penny Product 5061",2025,April,4,2447913.38
"Peak Product 3319",2025,September,9,2429733.86
"Nestle Product 4300",2025,April,4,2382086.65
"Power Oil Product 293",2025,November,11,2367718.57
"Milo Product 8185",2025,February,2,2312292.27
"Milo Product 3949",2025,June,6,2296547.38
"Dettol Product 5886",2025,March,3,2292269.33
"Milo Product 836",2025,May,5,2275915.04
"Nestle Product 2074",2025,August,8,2264397.51
"Power Oil Product 3509",2025,May,5,2242453.40
"Nestle Product 9649",2025,April,4,2236867.98
"Golden Penny Product 818",2025,July,7,2227969.41
"Nestle Product 6575",2025,December,12,2219360.18
"Indomie Product 856",2025,August,8,2206014.13
"Dangote Product 6667",2025,November,11,2202770.59
"Golden Penny Product 7303",2025,May,5,2202650.16
"Nestle Product 2920",2025,May,5,2186131.34
"Nestle Product 6978",2025,October,10,2180908.92
"Peak Product 7968",2025,December,12,2170753.73
"Milo Product 4983",2025,May,5,2170282.21
"Power Oil Product 6962",2025,May,5,2137959.08
"Milo Product 8203",2025,January,1,2136724.18
"Nestle Product 2394",2025,November,11,2133212.80
"Nestle Product 8137",2025,June,6,2123827.13
"Power Oil Product 6914",2025,September,9,2114244.93
"Power Oil Product 4929",2025,July,7,2112275.31
"Dangote Product 2557",2025,March,3,2107613.18
"Peak Product 2459",2025,November,11,2097607.13
"Milo Product 1782",2025,August,8,2095206.83
"Dangote Product 7988",2025,April,4,2090750.52
"Nestle Product 7046",2025,April,4,2075854.67
