supplier_id,supplier_name,lead_time_days,Total_Sales
S02159,"Dufil Prima Foods 2159",4,6526863.96
S00915,"Dangote Sugar 915",4,6284689.84
S05343,"Dangote Sugar 5343",7,4746976.47
S01300,"Dufil Prima Foods 1300",2,4718815.77
S09559,"Dufil Prima Foods 9559",4,4276167.78
S01791,"Dufil Prima Foods 1791",6,4106910.59
S02182,"Flour Mills Nigeria 2182",10,4092134.02
S02637,"Flour Mills Nigeria 2637",13,4088608.80
S01910,"Dufil Prima Foods 1910",2,4041477.96
S08021,"Flour Mills Nigeria 8021",5,4001300.44
S09075,"Dufil Prima Foods 9075",13,3906731.64
S05148,"Dangote Sugar 5148",14,3829111.69
S04413,"Dangote Sugar 4413",11,3622015.10
S07260,"Dangote Sugar 7260",2,3616747.08
S09457,"Flour Mills Nigeria 9457",2,3583932.44
S09070,"Flour Mills Nigeria 9070",5,3528195.02
S02078,"Nestle Nigeria 2078",3,3488750.76
S00723,"Dufil Prima Foods 723",1,3483498.71
S02727,"Flour Mills Nigeria 2727",8,3481133.39
S04800,"Dufil Prima Foods 4800",10,3465491.01
S02486,"Dufil Prima Foods 2486",4,3452281.68
S06195,"Flour Mills Nigeria 6195",9,3381735.80
S03766,"Dangote Sugar 3766",8,3378850.24
S09811,"Nestle Nigeria 9811",6,3347071.36
S07018,"Flour Mills Nigeria 7018",12,3328359.91
S05887,"Dangote Sugar 5887",4,3294068.87
S07700,"Dangote Sugar 7700",8,3285410.20
S00927,"Dangote Sugar 927",9,3268634.41
S06248,"Flour Mills Nigeria 6248",5,3222994.01
S06844,"Dufil Prima Foods 6844",7,3172489.57
S02559,"Dufil Prima Foods 2559",2,3166414.98
S08042,"Flour Mills Nigeria 8042",10,3158389.42
S04619,"Nestle Nigeria 4619",5,3153297.09
S07804,"Nestle Nigeria 7804",8,3138746.35
S07131,"Nestle Nigeria 7131",7,3130296.67
S03502,"Dufil Prima Foods 3502",3,3118951.92
S05537,"Nestle Nigeria 5537",2,3092625.25
S00407,"Flour Mills Nigeria 407",13,3088340.51
S02813,"Dufil Prima Foods 2813",3,3073892.93
S04033,"Flour Mills Nigeria 4033",13,3068026.89
S06463,"Dufil Prima Foods 6463",10,3048689.00
S02189,"Flour Mills Nigeria 2189",1,3044622.49
S08734,"Dufil Prima Foods 8734",13,3027755.65
S01951,"Dufil Prima Foods 1951",12,3026951.07
S03642,"Flour Mills Nigeria 3642",7,3026793.12
S01573,"Flour Mills Nigeria 1573",12,3013877.23
S03455,"Flour Mills Nigeria 3455",8,3002056.26
S04986,"Dufil Prima Foods 4986",14,2997775.30
S06168,"Nestle Nigeria 6168",8,2992636.05
S09234,"Dangote Sugar 9234",7,2951754.72
S02154,"Dangote Sugar 2154",12,2943981.43
S02898,"Nestle Nigeria 2898",4,2943199.10
S02068,"Dangote Sugar 2068",10,2921409.26
S07318,"Dangote Sugar 7318",2,2896531.27
S05422,"Nestle Nigeria 5422",2,2891644.41
S01907,"Dufil Prima Foods 1907",6,2883416.30
S01595,"Dufil Prima Foods 1595",14,2854540.90
S07082,"Dangote Sugar 7082",5,2850330.69
S05658,"Flour Mills Nigeria 5658",12,2841720.56
S00307,"Dangote Sugar 307",4,2829310.45
S02396,"Flour Mills Nigeria 2396",2,2806924.03
S05364,"Flour Mills Nigeria 5364",1,2799733.80
S04762,"Nestle Nigeria 4762",11,2795692.80
S06231,"Nestle Nigeria 6231",5,2791363.77
S07071,"Dufil Prima Foods 7071",12,2776075.16
S01465,"Dangote Sugar 1465",6,2744984.70
S08956,"Nestle Nigeria 8956",10,2744367.15
S02607,"Dangote Sugar 2607",14,2741501.71
S06608,"Nestle Nigeria 6608",9,2731952.70
S05553,"Nestle Nigeria 5553",9,2731670.10
S02480,"Nestle Nigeria 2480",2,2729834.90
S04971,"Nestle Nigeria 4971",13,2729243.31
S07214,"Nestle Nigeria 7214",12,2719997.40
S09723,"Nestle Nigeria 9723",8,2718992.16
S09324,"Dufil Prima Foods 9324",4,2702964.00
S04417,"Dufil Prima Foods 4417",11,2700484.71
S07609,"Dufil Prima Foods 7609",8,2697353.54
S03444,"Dangote Sugar 3444",12,2693863.67
S04002,"Nestle Nigeria 4002",13,2691312.46
S04952,"Dufil Prima Foods 4952",10,2684934.03
S05432,"Dangote Sugar 5432",9,2649111.36
S03160,"Flour Mills Nigeria 3160",9,2640571.44
S02227,"Nestle Nigeria 2227",4,2636711.55
S06488,"Flour Mills Nigeria 6488",3,2629616.61
S04975,"Flour Mills Nigeria 4975",4,2617594.56
S07811,"Dufil Prima Foods 7811",9,2612139.30
S05653,"Dufil Prima Foods 5653",4,2608101.19
S04021,"Nestle Nigeria 4021",4,2591595.34
S03969,"Nestle Nigeria 3969",10,2590422.15
S05932,"Flour Mills Nigeria 5932",1,2585418.56
S06335,"Nestle Nigeria 6335",7,2581598.06
S04991,"Dufil Prima Foods 4991",1,2562382.08
S03314,"Dufil Prima Foods 3314",1,2559285.88
S01863,"Flour Mills Nigeria 1863",14,2555433.54
S08371,"Dufil Prima Foods 8371",3,2551688.89
S06679,"Dufil Prima Foods 6679",10,2550788.82
S08290,"Nestle Nigeria 8290",13,2548258.36
S00308,"Flour Mills Nigeria 308",5,2539142.24
S06472,"Nestle Nigeria 6472",2,2536420.12
S03551,"Nestle Nigeria 3551",7,2530489.01
S08009,"Flour Mills Nigeria 8009",2,2507396.89
S05903,"Dufil Prima Foods 5903",5,2507088.36
S01534,"Dangote Sugar 1534",14,2506341.36
S00762,"Dangote Sugar 762",14,2505811.22
S04882,"Dangote Sugar 4882",12,2491653.21
S05407,"Nestle Nigeria 5407",2,2478486.38
S05747,"Nestle Nigeria 5747",5,2476890.43
S04551,"Nestle Nigeria 4551",6,2471987.31
S01747,"Dufil Prima Foods 1747",11,2466051.06
S05298,"Dufil Prima Foods 5298",5,2455913.63
S08674,"Dufil Prima Foods 8674",5,2454534.12
S01077,"Nestle Nigeria 1077",2,2453849.05
S09447,"Nestle Nigeria 9447",2,2442157.06
S09065,"Dufil Prima Foods 9065",5,2441253.24
S05998,"Nestle Nigeria 5998",13,2437038.20
S00742,"Dangote Sugar 742",3,2435743.94
S03731,"Flour Mills Nigeria 3731",10,2431060.50
S08701,"Dangote Sugar 8701",12,2428901.23
S04710,"Nestle Nigeria 4710",3,2424234.00
S07843,"Dangote Sugar 7843",5,2417919.61
S00254,"Nestle Nigeria 254",2,2417897.16
S01900,"Dangote Sugar 1900",13,2415916.77
S04683,"Dangote Sugar 4683",7,2407054.00
S04591,"Flour Mills Nigeria 4591",14,2400513.52
S06067,"Flour Mills Nigeria 6067",5,2399171.07
S02522,"Dufil Prima Foods 2522",9,2396632.07
S07693,"Dangote Sugar 7693",8,2392327.88
S06269,"Flour Mills Nigeria 6269",3,2385724.43
S04185,"Nestle Nigeria 4185",6,2384996.03
S06668,"Dufil Prima Foods 6668",13,2375875.54
S09725,"Nestle Nigeria 9725",7,2373571.20
S09287,"Flour Mills Nigeria 9287",5,2372453.62
S00058,"Dufil Prima Foods 58",8,2369572.26
S09828,"Nestle Nigeria 9828",12,2368787.40
S01662,"Nestle Nigeria 1662",5,2367413.78
S02404,"Dufil Prima Foods 2404",13,2365437.67
S09761,"Dufil Prima Foods 9761",7,2363522.61
S03792,"Flour Mills Nigeria 3792",11,2361763.00
S03547,"Flour Mills Nigeria 3547",2,2359935.37
S03131,"Dufil Prima Foods 3131",9,2359113.38
S00152,"Nestle Nigeria 152",3,2354126.62
S08276,"Dufil Prima Foods 8276",3,2352844.32
S09562,"Flour Mills Nigeria 9562",9,2350592.67
S00033,"Dufil Prima Foods 33",6,2345637.51
S01623,"Flour Mills Nigeria 1623",3,2344573.40
S05636,"Dufil Prima Foods 5636",14,2342019.24
S06930,"Nestle Nigeria 6930",2,2341274.20
S05766,"Flour Mills Nigeria 5766",12,2334053.40
S02585,"Nestle Nigeria 2585",9,2332300.03
S06663,"Nestle Nigeria 6663",14,2330308.24
S07107,"Flour Mills Nigeria 7107",11,2329866.07
S07343,"Flour Mills Nigeria 7343",11,2329270.80
S09985,"Dufil Prima Foods 9985",10,2324915.70
S06938,"Dangote Sugar 6938",4,2319663.06
S08904,"Dufil Prima Foods 8904",6,2313930.53
S05614,"Dangote Sugar 5614",4,2312724.72
