inventory_id,product_id,warehouse_id,current_stock,reorder_level,max_capacity,last_updated
I00001,P03994,W04507,1005,276,4027,2026-03-14
I00002,P01759,W09868,602,221,9745,2026-04-29
I00003,P07241,W09951,1484,499,1095,2026-05-27
I00004,P00229,W09085,3559,306,8374,2026-04-03
I00005,P02681,W06466,2061,113,5267,2026-05-07
I00006,P01973,W09485,3768,413,6029,2026-05-07
I00007,P03524,W07148,1431,281,2373,2026-03-26
I00008,P02474,W01173,1950,292,2675,2026-06-02
I00009,P04889,W06114,4909,417,2447,2026-03-15
I00010,P03286,W02331,1514,284,9235,2026-03-30
I00011,P05145,W09592,2334,87,7644,2026-05-07
I00012,P06598,W01033,1391,442,2104,2026-06-01
I00013,P05445,W06722,4810,434,2773,2026-03-13
I00014,P00714,W09134,2743,101,2365,2026-04-22
I00015,P07258,W06933,3363,404,5597,2026-04-05
I00016,P06589,W07842,979,494,2355,2026-05-30
I00017,P09412,W06838,610,200,1633,2026-04-05
I00018,P00802,W04986,2618,500,7251,2026-05-31
I00019,P08303,W01488,2752,276,5886,2026-06-05
I00020,P03769,W06462,3720,418,2830,2026-05-03
I00021,P05437,W02224,4237,427,4370,2026-04-29
I00022,P02434,W06979,2327,417,3573,2026-04-29
I00023,P07073,W02510,1497,245,7845,2026-05-12
I00024,P04885,W00066,266,354,2150,2026-05-26
I00025,P04281,W01684,3921,256,3867,2026-05-25
I00026,P05711,W07099,1580,129,1048,2026-04-01
I00027,P01498,W09619,143,84,1751,2026-06-07
I00028,P09730,W04532,2695,357,7215,2026-04-22
I00029,P08022,W06365,2965,348,3504,2026-04-01
I00030,P06502,W06627,4073,104,5426,2026-03-27
I00031,P09823,W06420,1551,360,8228,2026-03-11
I00032,P07123,W08401,2514,219,8936,2026-05-19
I00033,P04660,W09303,2142,112,3171,2026-05-20
I00034,P05696,W01828,3765,162,1157,2026-04-11
I00035,P07912,W01324,4041,336,6869,2026-04-23
I00036,P03687,W05754,3203,175,4357,2026-05-23
I00037,P00189,W09881,4141,411,1644,2026-04-08
I00038,P00229,W03050,3156,433,6910,2026-05-09
I00039,P00569,W01525,4487,69,1920,2026-04-04
I00040,P05302,W05173,4580,397,6308,2026-04-25
I00041,P06842,W03594,2934,460,6786,2026-04-15
I00042,P03087,W08614,3709,377,3951,2026-05-06
I00043,P01561,W04667,3723,280,1273,2026-03-21
I00044,P00503,W08317,1100,314,7688,2026-05-28
I00045,P03516,W09556,97,61,1053,2026-03-19
I00046,P03354,W06719,3513,179,8578,2026-04-23
I00047,P04416,W07060,4162,136,2256,2026-03-28
I00048,P02266,W02397,4002,477,8600,2026-06-03
I00049,P06939,W05130,1699,70,2873,2026-05-24
I00050,P07940,W07757,342,79,4829,2026-06-01
I00051,P04366,W05910,3861,190,8110,2026-03-17
I00052,P05207,W02756,1985,449,3596,2026-04-17
I00053,P00577,W08832,282,140,6698,2026-03-28
I00054,P07118,W01959,1852,162,4241,2026-05-03
I00055,P03894,W06285,3030,454,8895,2026-03-12
I00056,P07132,W01276,323,190,1499,2026-04-27
I00057,P05625,W08840,3918,103,6627,2026-06-06
I00058,P01993,W03622,4685,408,3233,2026-05-02
I00059,P03247,W04930,638,313,7959,2026-03-31
I00060,P08868,W07133,3655,189,4025,2026-04-17
I00061,P04197,W05334,4750,463,1977,2026-05-12
I00062,P05157,W06495,2399,82,8089,2026-05-30
I00063,P05166,W00902,2958,494,8188,2026-04-26
I00064,P01082,W04891,1824,487,8781,2026-04-03
I00065,P04269,W08445,1558,140,3548,2026-05-08
I00066,P05405,W04493,2793,166,9363,2026-04-19
I00067,P00021,W00093,3116,366,5968,2026-03-18
I00068,P06724,W06222,3324,298,1216,2026-04-30
I00069,P04927,W00210,2791,455,8437,2026-05-11
I00070,P01409,W09119,4310,266,7646,2026-05-01
I00071,P08490,W09799,1233,373,8025,2026-04-16
I00072,P05640,W08376,4930,222,2488,2026-04-25
I00073,P08042,W02718,2640,118,1537,2026-03-27
I00074,P03024,W03137,3157,269,2668,2026-05-15
I00075,P09675,W01645,1440,123,9264,2026-03-12
I00076,P07143,W06710,4893,481,9673,2026-05-12
I00077,P08796,W02817,3463,182,4174,2026-05-20
I00078,P00799,W02771,1717,298,3101,2026-03-14
I00079,P01532,W07728,709,138,8417,2026-03-25
I00080,P03929,W03282,3187,182,8615,2026-03-29
I00081,P02610,W02459,1910,219,4242,2026-05-13
I00082,P03669,W09891,1301,380,9864,2026-03-18
I00083,P02117,W08583,4369,154,5719,2026-05-16
I00084,P09345,W05264,1562,329,8779,2026-05-26
I00085,P06622,W00917,1949,121,2766,2026-03-28
I00086,P04193,W08283,4884,74,3412,2026-04-13
I00087,P04562,W02485,1676,429,6226,2026-04-26
I00088,P03026,W08218,4789,244,7319,2026-05-16
I00089,P09401,W09241,2597,426,7068,2026-03-15
I00090,P08610,W01742,1670,125,5422,2026-03-31
I00091,P03720,W03737,3198,487,6519,2026-05-07
I00092,P08067,W01223,3259,408,8851,2026-05-15
I00093,P03482,W00618,1940,137,8962,2026-05-31
I00094,P03750,W04034,700,286,9716,2026-05-26
I00095,P04615,W01328,4437,452,3961,2026-05-11
I00096,P06486,W00306,2443,382,9680,2026-05-06
I00097,P05627,W09319,854,401,4647,2026-04-19
I00098,P01567,W04066,374,158,9477,2026-04-16
I00099,P08906,W09799,4919,259,6406,2026-05-07
I00100,P05678,W09839,4821,281,7765,2026-04-04
I00101,P07278,W09793,1015,70,7280,2026-04-16
I00102,P02903,W00502,2015,492,7794,2026-03-31
I00103,P04690,W06546,268,68,9946,2026-06-03
I00104,P07587,W07823,3763,171,6844,2026-03-28
I00105,P06658,W04423,2113,336,5334,2026-05-27
I00106,P09089,W07346,4460,364,7066,2026-05-01
I00107,P08224,W08542,3414,78,4854,2026-05-31
I00108,P09383,W07279,382,273,5404,2026-05-31
I00109,P06062,W04258,3312,253,1167,2026-03-31
I00110,P09455,W07074,2085,320,5137,2026-03-18
I00111,P07830,W04573,2590,111,7143,2026-03-26
I00112,P06696,W06787,465,416,1956,2026-05-20
I00113,P09669,W08083,4092,211,4191,2026-05-18
I00114,P07544,W04041,4368,349,4189,2026-04-07
I00115,P05810,W00953,2630,452,8479,2026-04-25
I00116,P09042,W06157,2156,325,3028,2026-03-27
I00117,P00415,W07890,1703,449,9143,2026-05-10
I00118,P08876,W06694,1904,422,7245,2026-04-11
I00119,P09663,W01124,153,68,6608,2026-05-19
I00120,P07447,W09949,3574,200,9935,2026-04-08
I00121,P03766,W04258,2528,86,2901,2026-06-03
I00122,P04522,W03718,1921,291,8166,2026-06-06
I00123,P06804,W06953,4632,415,2418,2026-03-18
I00124,P07022,W07300,1096,489,3279,2026-03-25
I00125,P04546,W03133,3948,259,3653,2026-03-19
I00126,P03891,W09807,3901,335,5019,2026-04-08
I00127,P01328,W01207,943,215,1298,2026-04-14
I00128,P02193,W03969,4271,91,9416,2026-04-05
I00129,P05078,W04742,3117,280,6996,2026-05-12
I00130,P03922,W03337,2061,456,1545,2026-03-12
I00131,P04828,W04542,463,450,2557,2026-04-02
I00132,P01985,W02756,4598,217,1751,2026-05-09
I00133,P08009,W09220,3323,352,2483,2026-03-21
I00134,P04402,W07300,3392,62,5692,2026-03-25
I00135,P09252,W02989,4450,400,5746,2026-03-23
I00136,P06175,W01117,3969,324,1450,2026-04-14
I00137,P05116,W01744,1947,464,4334,2026-05-15
I00138,P07748,W09054,414,107,5284,2026-05-30
I00139,P03118,W05921,2708,221,1958,2026-05-23
I00140,P09634,W05451,2202,205,6551,2026-03-25
I00141,P04935,W09336,4812,221,3426,2026-05-31
I00142,P05253,W09487,4366,248,5741,2026-03-27
I00143,P09588,W02171,2279,185,4299,2026-04-23
I00144,P09953,W02145,1057,442,4582,2026-04-05
I00145,P07690,W04318,3273,489,7723,2026-05-01
I00146,P04272,W09015,3637,211,1627,2026-04-21
I00147,P03233,W03019,3003,341,6086,2026-04-06
I00148,P01845,W04261,346,460,6689,2026-03-25
I00149,P07694,W05718,4778,228,6140,2026-06-05
I00150,P09737,W06402,2846,104,4112,2026-05-11
I00151,P02043,W02820,4337,67,2536,2026-04-23
I00152,P05740,W01832,786,211,4448,2026-04-17
I00153,P08691,W05963,1542,251,1672,2026-03-18
I00154,P03253,W08893,2425,262,8752,2026-05-30
I00155,P06033,W07371,2259,480,2993,2026-04-21
I00156,P09479,W02881,2150,245,6797,2026-05-03
I00157,P04290,W01031,2667,89,9263,2026-05-27
I00158,P01273,W02369,1171,410,3814,2026-04-07
I00159,P02291,W09367,504,359,6603,2026-05-10
I00160,P08118,W06080,493,136,3654,2026-05-23
I00161,P07377,W01191,4949,447,9047,2026-05-17
I00162,P05381,W06811,106,368,4452,2026-03-29
I00163,P03193,W07422,3670,176,3848,2026-03-12
I00164,P08239,W06708,2505,275,9571,2026-05-24
I00165,P06155,W02848,4626,427,8265,2026-05-17
I00166,P01181,W02943,4129,182,1328,2026-05-23
I00167,P05373,W06115,2809,185,3526,2026-04-14
I00168,P03902,W02115,3854,130,8719,2026-04-18
I00169,P00176,W03009,3867,322,7534,2026-03-24
I00170,P04434,W09497,926,167,4763,2026-05-17
I00171,P01900,W06483,586,433,5730,2026-05-15
I00172,P05876,W03279,4406,382,8194,2026-03-28
I00173,P04277,W07977,903,213,6426,2026-04-27
I00174,P08219,W09513,1514,479,6779,2026-04-19
I00175,P04503,W00840,1526,271,5610,2026-04-28
I00176,P02346,W07533,743,477,9282,2026-05-02
I00177,P06941,W04321,901,194,7002,2026-05-13
I00178,P04074,W07992,1594,165,8163,2026-05-23
I00179,P08647,W06171,400,130,1566,2026-05-26
I00180,P04130,W00010,1025,229,2148,2026-03-14
I00181,P03887,W04420,2821,288,7151,2026-03-24
I00182,P04561,W08906,4204,310,8650,2026-05-25
I00183,P01737,W09951,835,365,5260,2026-04-02
I00184,P01803,W01561,254,431,2489,2026-04-28
I00185,P04357,W05225,117,271,2359,2026-04-03
I00186,P06570,W01236,2714,72,9160,2026-03-16
I00187,P03019,W09332,851,360,7879,2026-05-10
I00188,P01014,W06791,894,188,5774,2026-03-25
I00189,P09944,W04780,4211,119,3390,2026-06-06
I00190,P00211,W02516,3858,285,6996,2026-03-12
I00191,P04130,W04374,832,468,1518,2026-05-24
I00192,P09474,W09458,1967,224,9583,2026-05-22
I00193,P05930,W02526,1075,280,5590,2026-03-10
I00194,P01975,W06628,2062,489,8916,2026-03-16
I00195,P01130,W09259,4888,140,2320,2026-04-15
I00196,P02236,W08441,554,373,9673,2026-03-29
I00197,P05452,W08184,759,247,4725,2026-06-07
I00198,P01219,W00695,1823,59,2547,2026-03-25
I00199,P00671,W03480,1590,383,8998,2026-04-16
I00200,P00023,W03589,2694,439,2727,2026-05-02
I00201,P06113,W05992,3973,365,6558,2026-06-06
I00202,P03810,W06610,2156,427,3464,2026-05-01
I00203,P01111,W03410,3989,365,2086,2026-05-26
I00204,P01802,W05169,3187,346,8363,2026-05-10
I00205,P01380,W05891,282,497,5227,2026-05-06
I00206,P00551,W07309,3331,264,8644,2026-03-19
I00207,P09949,W01769,3917,321,4703,2026-03-11
I00208,P07176,W05022,3240,393,6111,2026-03-12
I00209,P03984,W08227,17,160,7864,2026-03-11
I00210,P07614,W02350,1568,81,1653,2026-04-10
I00211,P07664,W01775,2760,178,7160,2026-05-19
I00212,P00202,W06725,49,99,6578,2026-05-23
I00213,P04683,W08394,1284,280,3568,2026-04-19
I00214,P02990,W00157,135,270,8674,2026-03-10
I00215,P08200,W07943,4107,194,9709,2026-05-09
I00216,P09249,W09815,438,440,1943,2026-04-13
I00217,P08708,W06578,2050,269,8865,2026-04-01
I00218,P05848,W02964,4498,69,8512,2026-04-21
I00219,P05210,W04652,1477,493,1471,2026-05-17
I00220,P01668,W05107,1413,453,7730,2026-04-03
I00221,P09330,W09595,4335,328,6626,2026-05-17
I00222,P07566,W09603,1785,326,4653,2026-04-21
I00223,P04423,W02039,1883,335,2925,2026-05-03
I00224,P03616,W01856,2348,63,7001,2026-03-19
I00225,P04542,W05787,3535,329,2538,2026-03-10
I00226,P02617,W05347,2159,74,3006,2026-04-17
I00227,P08897,W09958,4133,60,7117,2026-04-05
I00228,P03458,W08387,4131,123,8937,2026-04-15
I00229,P02211,W03429,3386,91,2970,2026-05-13
I00230,P08989,W05378,3723,478,9082,2026-04-02
I00231,P07989,W09693,2639,98,3579,2026-04-20
I00232,P04839,W01427,3961,395,5330,2026-05-23
I00233,P03569,W03548,4844,337,3920,2026-05-29
I00234,P01663,W00630,2465,412,2835,2026-05-18
I00235,P09422,W02731,1398,193,6933,2026-06-07
I00236,P00201,W06412,2086,187,3997,2026-05-10
I00237,P03928,W05060,1004,264,8419,2026-05-02
I00238,P00513,W02771,4113,101,2203,2026-03-25
I00239,P06420,W07990,2738,372,1589,2026-04-05
I00240,P02110,W02408,125,439,3910,2026-06-04
I00241,P04212,W06439,426,286,7826,2026-04-28
I00242,P02976,W06996,1681,467,3559,2026-03-19
I00243,P07361,W04115,4645,120,6648,2026-05-02
I00244,P06174,W01982,1379,325,6287,2026-03-13
I00245,P03853,W09599,2006,155,2918,2026-06-05
I00246,P01656,W03978,1419,75,1662,2026-04-29
I00247,P09215,W02140,343,425,7052,2026-04-13
I00248,P08968,W01680,232,395,8272,2026-05-10
I00249,P06149,W09746,1919,327,2420,2026-04-26
I00250,P04065,W06253,476,380,3084,2026-03-29
I00251,P09872,W01665,3465,108,7949,2026-05-31
I00252,P01647,W08650,2650,289,7336,2026-03-28
I00253,P02535,W04966,4062,457,3481,2026-03-22
I00254,P07770,W05397,4490,403,2333,2026-04-24
I00255,P09932,W00627,4249,404,2410,2026-04-28
I00256,P05385,W04801,4235,224,1774,2026-05-25
I00257,P00509,W03405,608,75,3588,2026-03-12
I00258,P07193,W07317,2007,106,7338,2026-04-23
I00259,P04689,W00263,4778,492,9142,2026-05-23
I00260,P05374,W06021,3076,159,5865,2026-05-18
I00261,P00354,W00278,153,151,5641,2026-05-08
I00262,P00262,W09778,2176,310,9271,2026-04-13
I00263,P04935,W05043,4372,353,5290,2026-04-22
I00264,P07205,W03701,659,340,8697,2026-03-18
