inventory_id,product_id,warehouse_id,current_stock,reorder_level,max_capacity,last_updated,unit_price_ngn,inventory_value
I00001,P03994,W04507,1005,276,4027,2026-03-14,20048.75,20148993.75
I00002,P01759,W09868,602,221,9745,2026-04-29,15818.61,9522803.22
I00003,P07241,W09951,1484,499,1095,2026-05-27,20576.15,30535006.6
I00004,P00229,W09085,3559,306,8374,2026-04-03,14742.3,52467845.699999996
I00005,P02681,W06466,2061,113,5267,2026-05-07,14104.63,29069642.43
I00006,P01973,W09485,3768,413,6029,2026-05-07,8142.35,30680374.8
I00007,P03524,W07148,1431,281,2373,2026-03-26,3910.87,5596454.97
I00008,P02474,W01173,1950,292,2675,2026-06-02,24522.22,47818329.0
I00009,P04889,W06114,4909,417,2447,2026-03-15,1950.91,9577017.19
I00010,P03286,W02331,1514,284,9235,2026-03-30,15528.66,23510391.24
I00011,P05145,W09592,2334,87,7644,2026-05-07,14741.96,34407734.64
I00012,P06598,W01033,1391,442,2104,2026-06-01,1643.55,2286178.05
I00013,P05445,W06722,4810,434,2773,2026-03-13,4518.07,21731916.7
I00014,P00714,W09134,2743,101,2365,2026-04-22,20622.96,56568779.28
I00015,P07258,W06933,3363,404,5597,2026-04-05,8534.37,28701086.310000002
I00016,P06589,W07842,979,494,2355,2026-05-30,6316.01,6183373.79
I00017,P09412,W06838,610,200,1633,2026-04-05,15736.91,9599515.1
I00018,P00802,W04986,2618,500,7251,2026-05-31,12701.93,33253652.740000002
I00019,P08303,W01488,2752,276,5886,2026-06-05,9749.37,26830266.240000002
I00020,P03769,W06462,3720,418,2830,2026-05-03,13769.63,51223023.599999994
I00021,P05437,W02224,4237,427,4370,2026-04-29,18606.19,78834427.03
I00022,P02434,W06979,2327,417,3573,2026-04-29,8851.71,20597929.169999998
I00023,P07073,W02510,1497,245,7845,2026-05-12,10113.45,15139834.65
I00024,P04885,W00066,266,354,2150,2026-05-26,3152.37,838530.4199999999
I00025,P04281,W01684,3921,256,3867,2026-05-25,2575.34,10097908.14
I00026,P05711,W07099,1580,129,1048,2026-04-01,20114.89,31781526.2
I00027,P01498,W09619,143,84,1751,2026-06-07,3885.44,555617.92
I00028,P09730,W04532,2695,357,7215,2026-04-22,13142.55,35419172.25
I00029,P08022,W06365,2965,348,3504,2026-04-01,17351.83,51448175.95
I00030,P06502,W06627,4073,104,5426,2026-03-27,7483.36,30479725.279999997
I00031,P09823,W06420,1551,360,8228,2026-03-11,6574.57,10197158.07
I00032,P07123,W08401,2514,219,8936,2026-05-19,3859.28,9702229.92
I00033,P04660,W09303,2142,112,3171,2026-05-20,9652.76,20676211.92
I00034,P05696,W01828,3765,162,1157,2026-04-11,10020.86,37728537.9
I00035,P07912,W01324,4041,336,6869,2026-04-23,794.66,3211221.06
I00036,P03687,W05754,3203,175,4357,2026-05-23,17273.16,55325931.48
I00037,P00189,W09881,4141,411,1644,2026-04-08,2055.74,8512819.34
I00038,P00229,W03050,3156,433,6910,2026-05-09,14742.3,46526698.8
I00039,P00569,W01525,4487,69,1920,2026-04-04,21282.63,95495160.81
I00040,P05302,W05173,4580,397,6308,2026-04-25,24472.55,112084279.0
I00041,P06842,W03594,2934,460,6786,2026-04-15,15035.9,44115330.6
I00042,P03087,W08614,3709,377,3951,2026-05-06,798.67,2962267.03
I00043,P01561,W04667,3723,280,1273,2026-03-21,7256.48,27015875.04
I00044,P00503,W08317,1100,314,7688,2026-05-28,2422.55,2664805.0
I00045,P03516,W09556,97,61,1053,2026-03-19,3065.88,297390.36
I00046,P03354,W06719,3513,179,8578,2026-04-23,4513.08,15854450.04
I00047,P04416,W07060,4162,136,2256,2026-03-28,18447.84,76779910.08
I00048,P02266,W02397,4002,477,8600,2026-06-03,20223.44,80934206.88
I00049,P06939,W05130,1699,70,2873,2026-05-24,15739.81,26741937.189999998
I00050,P07940,W07757,342,79,4829,2026-06-01,9042.31,3092470.02
I00051,P04366,W05910,3861,190,8110,2026-03-17,24592.41,94951295.01
I00052,P05207,W02756,1985,449,3596,2026-04-17,22305.26,44275941.099999994
I00053,P00577,W08832,282,140,6698,2026-03-28,1484.32,418578.24
I00054,P07118,W01959,1852,162,4241,2026-05-03,23923.48,44306284.96
I00055,P03894,W06285,3030,454,8895,2026-03-12,5656.27,17138498.1
I00056,P07132,W01276,323,190,1499,2026-04-27,707.51,228525.73
I00057,P05625,W08840,3918,103,6627,2026-06-06,24456.26,95819626.67999999
I00058,P01993,W03622,4685,408,3233,2026-05-02,469.52,2199701.1999999997
I00059,P03247,W04930,638,313,7959,2026-03-31,980.97,625858.86
I00060,P08868,W07133,3655,189,4025,2026-04-17,16336.27,59709066.85
I00061,P04197,W05334,4750,463,1977,2026-05-12,20849.98,99037405.0
I00062,P05157,W06495,2399,82,8089,2026-05-30,7264.62,17427823.38
I00063,P05166,W00902,2958,494,8188,2026-04-26,1917.34,5671491.72
I00064,P01082,W04891,1824,487,8781,2026-04-03,11951.4,21799353.599999998
I00065,P04269,W08445,1558,140,3548,2026-05-08,3945.38,6146902.04
I00066,P05405,W04493,2793,166,9363,2026-04-19,11163.36,31179264.48
I00067,P00021,W00093,3116,366,5968,2026-03-18,21555.35,67166470.6
I00068,P06724,W06222,3324,298,1216,2026-04-30,8411.74,27960623.759999998
I00069,P04927,W00210,2791,455,8437,2026-05-11,12824.29,35792593.39
I00070,P01409,W09119,4310,266,7646,2026-05-01,6979.45,30081429.5
I00071,P08490,W09799,1233,373,8025,2026-04-16,11990.52,14784311.16
I00072,P05640,W08376,4930,222,2488,2026-04-25,628.28,3097420.4
I00073,P08042,W02718,2640,118,1537,2026-03-27,16792.14,44331249.6
I00074,P03024,W03137,3157,269,2668,2026-05-15,23381.83,73816437.31
I00075,P09675,W01645,1440,123,9264,2026-03-12,9237.92,13302604.8
I00076,P07143,W06710,4893,481,9673,2026-05-12,1955.26,9567087.18
I00077,P08796,W02817,3463,182,4174,2026-05-20,5719.75,19807494.25
I00078,P00799,W02771,1717,298,3101,2026-03-14,24103.6,41385881.199999996
I00079,P01532,W07728,709,138,8417,2026-03-25,12261.86,8693658.74
I00080,P03929,W03282,3187,182,8615,2026-03-29,8242.93,26270217.91
I00081,P02610,W02459,1910,219,4242,2026-05-13,23875.58,45602357.800000004
I00082,P03669,W09891,1301,380,9864,2026-03-18,19963.51,25972526.509999998
I00083,P02117,W08583,4369,154,5719,2026-05-16,4940.76,21586180.44
I00084,P09345,W05264,1562,329,8779,2026-05-26,13057.12,20395221.44
I00085,P06622,W00917,1949,121,2766,2026-03-28,18723.28,36491672.72
I00086,P04193,W08283,4884,74,3412,2026-04-13,14773.99,72156167.16
I00087,P04562,W02485,1676,429,6226,2026-04-26,3043.72,5101274.72
I00088,P03026,W08218,4789,244,7319,2026-05-16,14962.74,71656561.86
I00089,P09401,W09241,2597,426,7068,2026-03-15,13010.0,33786970.0
I00090,P08610,W01742,1670,125,5422,2026-03-31,23632.13,39465657.1
I00091,P03720,W03737,3198,487,6519,2026-05-07,13796.22,44120311.559999995
I00092,P08067,W01223,3259,408,8851,2026-05-15,12486.82,40694546.38
I00093,P03482,W00618,1940,137,8962,2026-05-31,9596.96,18618102.4
I00094,P03750,W04034,700,286,9716,2026-05-26,14444.15,10110905.0
I00095,P04615,W01328,4437,452,3961,2026-05-11,20594.49,91377752.13000001
I00096,P06486,W00306,2443,382,9680,2026-05-06,16929.27,41358206.61
I00097,P05627,W09319,854,401,4647,2026-04-19,2448.81,2091283.74
I00098,P01567,W04066,374,158,9477,2026-04-16,21825.97,8162912.78
I00099,P08906,W09799,4919,259,6406,2026-05-07,8068.03,39686639.57
I00100,P05678,W09839,4821,281,7765,2026-04-04,21841.41,105297437.61
I00101,P07278,W09793,1015,70,7280,2026-04-16,23703.84,24059397.6
I00102,P02903,W00502,2015,492,7794,2026-03-31,10433.52,21023542.8
I00103,P04690,W06546,268,68,9946,2026-06-03,24458.63,6554912.84
I00104,P07587,W07823,3763,171,6844,2026-03-28,19942.4,75043251.2
