product_id,product_name,category,brand,unit_price_ngn,supplier_id
P00001,Peak Product 1,Food,Nestle,6273.32,S02287
P00002,Peak Product 2,Cleaning,Peak,14844.21,S00521
P00003,Dangote Product 3,Food,Golden Penny,5969.99,S09864
P00004,Dangote Product 4,Frozen Foods,Golden Penny,17957.29,S08929
P00005,Milo Product 5,Beverages,Dettol,14813.79,S00107
P00006,Indomie Product 6,Cleaning,Milo,8638.21,S02548
P00007,Golden Penny Product 7,Toiletries,Peak,2500.1,S01585
P00008,Power Oil Product 8,Toiletries,Nestle,20216.78,S07528
P00009,Peak Product 9,Dairy,Peak,13890.61,S05926
P00010,Golden Penny Product 10,Cleaning,Peak,1336.44,S03734
P00011,Nestle Product 11,Food,Golden Penny,21688.79,S06228
P00012,Nestle Product 12,Dairy,Power Oil,4233.82,S05821
P00013,Golden Penny Product 13,Cleaning,Nestle,17605.14,S01170
P00014,Indomie Product 14,Frozen Foods,Golden Penny,4252.38,S06217
P00015,Nestle Product 15,Cleaning,Golden Penny,17178.43,S00917
P00016,Golden Penny Product 16,Food,Power Oil,10148.89,S01085
P00017,Golden Penny Product 17,Frozen Foods,Power Oil,5473.14,S08180
P00018,Milo Product 18,Cleaning,Dettol,3743.22,S02288
P00019,Golden Penny Product 19,Cleaning,Nestle,18725.94,S07020
P00020,Milo Product 20,Toiletries,Golden Penny,24933.68,S02267
P00021,Dettol Product 21,Food,Dangote,21555.35,S02505
P00022,Indomie Product 22,Cleaning,Milo,14990.94,S06305
P00023,Milo Product 23,Frozen Foods,Dettol,13322.04,S09065
P00024,Dangote Product 24,Cleaning,Peak,17106.42,S08798
P00025,Nestle Product 25,Cleaning,Power Oil,2966.49,S07124
P00026,Indomie Product 26,Dairy,Dangote,23854.64,S04316
P00027,Indomie Product 27,Frozen Foods,Peak,21788.86,S04890
P00028,Golden Penny Product 28,Beverages,Power Oil,19110.27,S08838
P00029,Dangote Product 29,Frozen Foods,Power Oil,12317.42,S01833
P00030,Power Oil Product 30,Toiletries,Golden Penny,1636.54,S09296
P00031,Peak Product 31,Food,Dettol,20437.38,S08728
P00032,Indomie Product 32,Beverages,Dettol,23681.85,S02706
P00033,Nestle Product 33,Frozen Foods,Milo,24116.2,S08836
P00034,Golden Penny Product 34,Cleaning,Nestle,10095.01,S06119
P00035,Dettol Product 35,Frozen Foods,Dettol,3200.9,S03682
P00036,Peak Product 36,Toiletries,Dangote,14790.06,S03771
P00037,Golden Penny Product 37,Food,Peak,17754.46,S00965
P00038,Golden Penny Product 38,Food,Dangote,21518.96,S01161
P00039,Golden Penny Product 39,Toiletries,Dettol,5513.07,S02168
P00040,Dettol Product 40,Beverages,Dettol,20225.93,S03120
P00041,Peak Product 41,Food,Milo,8986.58,S06736
P00042,Dettol Product 42,Cleaning,Dangote,16899.44,S01613
P00043,Dangote Product 43,Dairy,Power Oil,20054.69,S01791
P00044,Golden Penny Product 44,Beverages,Golden Penny,13499.89,S02297
P00045,Milo Product 45,Beverages,Nestle,11673.18,S01236
P00046,Dettol Product 46,Frozen Foods,Peak,1454.59,S08857
P00047,Dangote Product 47,Food,Golden Penny,4324.52,S07957
P00048,Dettol Product 48,Beverages,Milo,22580.58,S02698
P00049,Milo Product 49,Food,Milo,6777.04,S07455
P00050,Nestle Product 50,Dairy,Dettol,4038.96,S04862
P00051,Golden Penny Product 51,Food,Dangote,18749.79,S00937
P00052,Dangote Product 52,Frozen Foods,Dettol,12670.69,S08702
P00053,Indomie Product 53,Food,Peak,21313.3,S01123
P00054,Peak Product 54,Cleaning,Golden Penny,10213.63,S09334
P00055,Golden Penny Product 55,Frozen Foods,Dangote,15560.66,S06869
P00056,Power Oil Product 56,Toiletries,Golden Penny,16809.2,S05148
P00057,Golden Penny Product 57,Toiletries,Milo,3445.78,S04916
P00058,Dettol Product 58,Toiletries,Peak,431.02,S09225
P00059,Peak Product 59,Food,Golden Penny,12745.94,S02171
P00060,Power Oil Product 60,Food,Golden Penny,9364.27,S02585
P00061,Dettol Product 61,Frozen Foods,Nestle,15369.61,S08667
P00062,Dangote Product 62,Cleaning,Nestle,23307.55,S01698
P00063,Indomie Product 63,Toiletries,Peak,22264.88,S09065
P00064,Indomie Product 64,Toiletries,Nestle,15199.78,S05618
P00065,Golden Penny Product 65,Cleaning,Nestle,12734.14,S04115
P00066,Dangote Product 66,Food,Milo,20767.83,S00723
P00067,Dangote Product 67,Toiletries,Indomie,16000.41,S04292
P00068,Indomie Product 68,Cleaning,Dettol,13881.67,S07008
P00069,Dangote Product 69,Food,Peak,23637.26,S02443
P00070,Dangote Product 70,Toiletries,Indomie,10858.71,S00686
P00071,Nestle Product 71,Toiletries,Dangote,22493.33,S03442
P00072,Golden Penny Product 72,Cleaning,Peak,8971.23,S09174
P00073,Milo Product 73,Frozen Foods,Indomie,23158.94,S03879
P00074,Indomie Product 74,Beverages,Milo,814.7,S05443
P00075,Milo Product 75,Cleaning,Golden Penny,6816.78,S01772
P00076,Milo Product 76,Food,Dettol,5716.36,S07542
P00077,Power Oil Product 77,Toiletries,Golden Penny,5728.5,S03165
P00078,Milo Product 78,Toiletries,Nestle,21635.95,S04574
P00079,Power Oil Product 79,Cleaning,Milo,17052.05,S08786
P00080,Power Oil Product 80,Food,Peak,21950.55,S04280
P00081,Indomie Product 81,Frozen Foods,Nestle,1148.78,S09775
P00082,Milo Product 82,Toiletries,Power Oil,11022.57,S08380
P00083,Peak Product 83,Dairy,Golden Penny,6517.12,S07145
P00084,Dangote Product 84,Frozen Foods,Golden Penny,9232.69,S01147
P00085,Power Oil Product 85,Frozen Foods,Power Oil,16652.01,S02042
P00086,Nestle Product 86,Frozen Foods,Nestle,16738.94,S05345
P00087,Milo Product 87,Cleaning,Nestle,13949.43,S03144
P00088,Milo Product 88,Cleaning,Milo,16997.49,S02852
P00089,Nestle Product 89,Dairy,Dangote,7736.1,S03444
P00090,Milo Product 90,Frozen Foods,Power Oil,11731.71,S07245
P00091,Golden Penny Product 91,Frozen Foods,Dettol,19884.64,S02781
P00092,Peak Product 92,Toiletries,Power Oil,2516.0,S03849
P00093,Nestle Product 93,Beverages,Golden Penny,3854.38,S00758
P00094,Golden Penny Product 94,Dairy,Peak,11494.32,S09432
P00095,Golden Penny Product 95,Cleaning,Milo,12460.55,S03998
P00096,Indomie Product 96,Cleaning,Dangote,22337.96,S01747
P00097,Milo Product 97,Beverages,Indomie,20141.92,S08487
P00098,Dettol Product 98,Food,Golden Penny,22953.26,S01989
P00099,Dettol Product 99,Beverages,Dettol,16755.93,S09158
P00100,Power Oil Product 100,Dairy,Milo,20798.12,S08977
P00101,Dettol Product 101,Beverages,Dettol,11361.73,S04051
P00102,Nestle Product 102,Frozen Foods,Dettol,15743.36,S04500
