transaction_id,store_id,product_id,quantity_sold,sales_amount,transaction_date,year,month,day
T00001,ST05970,P02643,12,115840.56,2025-04-27,2025,4,27
T00002,ST04467,P03411,1,9896.23,2025-05-18,2025,5,18
T00003,ST01205,P01137,5,119713.45,2025-02-19,2025,2,19
T00004,ST09131,P03125,37,376927.88,2025-10-05,2025,10,5
T00005,ST02011,P03332,31,337368.35,2025-05-31,2025,5,31
T00006,ST09946,P06268,14,161966.7,2025-12-10,2025,12,10
T00007,ST06058,P00587,26,249597.14,2025-07-28,2025,7,28
T00008,ST09661,P09821,28,324052.12,2025-10-15,2025,10,15
T00009,ST01235,P07740,15,328828.95,2025-02-22,2025,2,22
T00010,ST05047,P04401,16,135875.68,2025-01-19,2025,1,19
T00011,ST06579,P05512,34,69307.98,2025-06-23,2025,6,23
T00012,ST06102,P03509,48,1062206.4,2025-05-30,2025,5,30
T00013,ST04912,P07621,25,187349.25,2025-04-15,2025,4,15
T00014,ST02742,P07394,12,71773.92,2025-03-20,2025,3,20
T00015,ST09595,P06075,47,209002.42,2025-10-09,2025,10,9
T00016,ST09741,P05187,46,885997.26,2025-03-19,2025,3,19
T00017,ST08428,P02956,50,912375.5,2025-07-12,2025,7,12
T00018,ST07709,P05639,16,272409.12,2025-08-13,2025,8,13
T00019,ST09375,P01674,13,202328.1,2025-02-08,2025,2,8
T00020,ST04740,P08838,15,75847.35,2025-03-30,2025,3,30
T00021,ST08748,P04292,10,76368.9,2025-04-19,2025,4,19
T00022,ST01746,P02554,4,89491.52,2025-06-16,2025,6,16
T00023,ST00663,P00773,27,21509.01,2025-03-03,2025,3,3
T00024,ST01019,P01124,30,136123.8,2025-07-20,2025,7,20
T00025,ST07662,P09407,35,345225.65,2025-09-02,2025,9,2
T00026,ST02824,P07943,10,178699.0,2025-08-01,2025,8,1
T00027,ST02996,P01170,21,285551.07,2025-10-11,2025,10,11
T00028,ST02659,P04501,3,39308.16,2025-11-26,2025,11,26
T00029,ST07164,P09170,36,536725.44,2025-03-13,2025,3,13
T00030,ST04782,P09417,26,129124.32,2025-05-29,2025,5,29
T00031,ST06729,P01219,37,378704.25,2025-09-16,2025,9,16
T00033,ST06489,P07579,8,82848.08,2025-10-09,2025,10,9
T00034,ST06114,P02618,46,958345.6,2025-09-03,2025,9,3
T00035,ST02729,P08093,45,335210.4,2025-10-13,2025,10,13
T00036,ST03096,P05795,3,31690.86,2025-09-20,2025,9,20
T00037,ST09982,P08638,34,635633.74,2025-05-01,2025,5,1
T00038,ST06102,P06358,28,90283.2,2025-11-14,2025,11,14
T00039,ST04592,P07063,30,675079.8,2025-11-21,2025,11,21
T00040,ST02452,P08240,42,415102.38,2025-03-24,2025,3,24
T00041,ST08669,P09570,42,724822.14,2025-05-23,2025,5,23
T00042,ST04694,P04929,37,875958.35,2025-07-30,2025,7,30
T00043,ST00548,P01673,44,929874.88,2025-07-07,2025,7,7
T00044,ST07808,P09281,25,177699.0,2025-06-08,2025,6,8
T00045,ST06178,P06459,4,95077.6,2025-10-13,2025,10,13
T00046,ST01377,P02678,2,4868.24,2025-09-29,2025,9,29
T00047,ST02064,P00652,1,24043.35,2025-03-05,2025,3,5
T00048,ST08441,P04638,34,9668.24,2025-08-19,2025,8,19
T00049,ST09002,P03752,42,935074.98,2025-03-19,2025,3,19
T00050,ST04031,P04397,33,255732.18,2025-04-20,2025,4,20
