store_id,branch_name,city,area
ST00001,Bokku Branch 1,Ogun,Agege
ST00002,Bokku Branch 2,Lagos,Lekki
ST00003,Bokku Branch 3,Ogun,Ojodu
ST00004,Bokku Branch 4,Ibadan,Surulere
ST00005,Bokku Branch 5,Port Harcourt,Ojodu
ST00006,Bokku Branch 6,Ibadan,Iju
ST00007,Bokku Branch 7,Port Harcourt,Yaba
ST00008,Bokku Branch 8,Ibadan,Surulere
ST00009,Bokku Branch 9,Lagos,Surulere
ST00010,Bokku Branch 10,Port Harcourt,Yaba
ST00011,Bokku Branch 11,Port Harcourt,Ogba
ST00012,Bokku Branch 12,Lagos,Lekki
ST00013,Bokku Branch 13,Ibadan,Agege
ST00014,Bokku Branch 14,Ibadan,Iju
ST00015,Bokku Branch 15,Ibadan,Surulere
ST00016,Bokku Branch 16,Abuja,Lekki
ST00017,Bokku Branch 17,Kano,Iju
ST00018,Bokku Branch 18,Port Harcourt,Iju
ST00019,Bokku Branch 19,Port Harcourt,Agege
ST00020,Bokku Branch 20,Abuja,Lekki
ST00021,Bokku Branch 21,Abuja,Agege
ST00022,Bokku Branch 22,Ibadan,Ogba
ST00023,Bokku Branch 23,Port Harcourt,Agege
ST00024,Bokku Branch 24,Lagos,Yaba
ST00025,Bokku Branch 25,Ibadan,Ojodu
ST00026,Bokku Branch 26,Port Harcourt,Ojodu
ST00027,Bokku Branch 27,Kano,Yaba
ST00028,Bokku Branch 28,Abuja,Ojodu
ST00029,Bokku Branch 29,Ibadan,Iju
ST00030,Bokku Branch 30,Ogun,Iju
ST00031,Bokku Branch 31,Lagos,Agege
ST00032,Bokku Branch 32,Port Harcourt,Agege
ST00033,Bokku Branch 33,Port Harcourt,Ogba
ST00034,Bokku Branch 34,Ibadan,Yaba
ST00035,Bokku Branch 35,Port Harcourt,Yaba
ST00036,Bokku Branch 36,Port Harcourt,Yaba
ST00037,Bokku Branch 37,Ogun,Ogba
ST00038,Bokku Branch 38,Ogun,Agege
ST00039,Bokku Branch 39,Abuja,Agege
ST00040,Bokku Branch 40,Ogun,Lekki
ST00041,Bokku Branch 41,Abuja,Iju
ST00042,Bokku Branch 42,Abuja,Ogba
ST00043,Bokku Branch 43,Lagos,Iju
ST00044,Bokku Branch 44,Ogun,Yaba
ST00045,Bokku Branch 45,Kano,Iju
ST00046,Bokku Branch 46,Kano,Yaba
ST00047,Bokku Branch 47,Port Harcourt,Agege
ST00048,Bokku Branch 48,Ogun,Yaba
ST00049,Bokku Branch 49,Kano,Ogba
ST00050,Bokku Branch 50,Ibadan,Ogba
ST00051,Bokku Branch 51,Port Harcourt,Ojodu
ST00052,Bokku Branch 52,Ibadan,Ojodu
ST00053,Bokku Branch 53,Kano,Surulere
ST00054,Bokku Branch 54,Kano,Lekki
ST00055,Bokku Branch 55,Ibadan,Ogba
ST00056,Bokku Branch 56,Port Harcourt,Yaba
ST00057,Bokku Branch 57,Kano,Iju
ST00058,Bokku Branch 58,Ogun,Agege
ST00059,Bokku Branch 59,Port Harcourt,Ojodu
ST00060,Bokku Branch 60,Ogun,Lekki
ST00061,Bokku Branch 61,Abuja,Iju
ST00062,Bokku Branch 62,Abuja,Ogba
ST00063,Bokku Branch 63,Ogun,Ogba
ST00064,Bokku Branch 64,Kano,Surulere
ST00065,Bokku Branch 65,Kano,Ojodu
ST00066,Bokku Branch 66,Kano,Ogba
ST00067,Bokku Branch 67,Abuja,Iju
ST00068,Bokku Branch 68,Lagos,Iju
ST00069,Bokku Branch 69,Kano,Ojodu
ST00070,Bokku Branch 70,Lagos,Iju
ST00071,Bokku Branch 71,Ibadan,Ogba
ST00072,Bokku Branch 72,Ogun,Surulere
ST00073,Bokku Branch 73,Kano,Iju
ST00074,Bokku Branch 74,Ogun,Ogba
ST00075,Bokku Branch 75,Ogun,Yaba
ST00076,Bokku Branch 76,Port Harcourt,Surulere
ST00077,Bokku Branch 77,Lagos,Ojodu
ST00078,Bokku Branch 78,Ogun,Agege
ST00079,Bokku Branch 79,Ibadan,Yaba
ST00080,Bokku Branch 80,Kano,Agege
ST00081,Bokku Branch 81,Kano,Iju
ST00082,Bokku Branch 82,Port Harcourt,Ogba
ST00083,Bokku Branch 83,Abuja,Ogba
ST00084,Bokku Branch 84,Ibadan,Lekki
ST00085,Bokku Branch 85,Ibadan,Ogba
ST00086,Bokku Branch 86,Ibadan,Ojodu
ST00087,Bokku Branch 87,Lagos,Ogba
ST00088,Bokku Branch 88,Lagos,Ojodu
ST00089,Bokku Branch 89,Abuja,Iju
ST00090,Bokku Branch 90,Kano,Iju
ST00091,Bokku Branch 91,Abuja,Surulere
ST00092,Bokku Branch 92,Ibadan,Agege
ST00093,Bokku Branch 93,Lagos,Ojodu
ST00094,Bokku Branch 94,Ogun,Ogba
ST00095,Bokku Branch 95,Port Harcourt,Lekki
ST00096,Bokku Branch 96,Kano,Ogba
ST00097,Bokku Branch 97,Kano,Ojodu
ST00098,Bokku Branch 98,Lagos,Ogba
ST00099,Bokku Branch 99,Ogun,Lekki
ST00100,Bokku Branch 100,Port Harcourt,Agege
ST00101,Bokku Branch 101,Abuja,Ogba
ST00102,Bokku Branch 102,Ibadan,Ojodu
ST00103,Bokku Branch 103,Port Harcourt,Yaba
