supplier_id,supplier_name,lead_time_days,supplier_rating
S00001,Dufil Prima Foods 1,8,5.0
S00002,Dangote Sugar 2,6,4.6
S00003,Dufil Prima Foods 3,4,4.5
S00004,Nestle Nigeria 4,11,4.5
S00005,Flour Mills Nigeria 5,11,4.3
S00006,Flour Mills Nigeria 6,6,4.1
S00007,Dangote Sugar 7,14,3.9
S00008,Nestle Nigeria 8,13,4.0
S00009,Dangote Sugar 9,6,4.5
S00010,Dufil Prima Foods 10,11,4.7
S00011,Dufil Prima Foods 11,10,4.7
S00012,Flour Mills Nigeria 12,8,4.8
S00013,Flour Mills Nigeria 13,14,4.0
S00014,Dangote Sugar 14,6,5.0
S00015,Flour Mills Nigeria 15,1,3.6
S00016,Nestle Nigeria 16,2,4.7
S00017,Dangote Sugar 17,2,3.7
S00018,Nestle Nigeria 18,6,4.4
S00019,Flour Mills Nigeria 19,11,3.8
S00020,Dangote Sugar 20,7,4.2
S00021,Nestle Nigeria 21,5,3.6
S00022,Dangote Sugar 22,6,4.7
S00023,Nestle Nigeria 23,6,4.8
S00024,Flour Mills Nigeria 24,8,4.2
S00025,Dangote Sugar 25,7,4.0
S00026,Dufil Prima Foods 26,5,4.9
S00027,Dangote Sugar 27,4,4.2
S00028,Nestle Nigeria 28,9,4.6
S00029,Nestle Nigeria 29,1,3.8
S00030,Flour Mills Nigeria 30,5,3.6
S00031,Dufil Prima Foods 31,5,4.9
S00032,Dufil Prima Foods 32,1,4.2
S00033,Dufil Prima Foods 33,6,3.7
S00034,Flour Mills Nigeria 34,14,4.8
S00035,Flour Mills Nigeria 35,12,3.9
S00036,Dufil Prima Foods 36,7,3.6
S00037,Dufil Prima Foods 37,8,4.9
S00038,Dufil Prima Foods 38,3,4.1
S00039,Flour Mills Nigeria 39,10,3.9
S00040,Nestle Nigeria 40,2,4.6
S00041,Dangote Sugar 41,7,4.6
S00042,Nestle Nigeria 42,13,3.8
S00043,Dangote Sugar 43,12,3.5
S00044,Dangote Sugar 44,1,4.1
S00045,Dufil Prima Foods 45,11,3.7
S00046,Dangote Sugar 46,9,4.3
S00047,Dangote Sugar 47,11,4.0
S00048,Nestle Nigeria 48,7,3.9
S00049,Dangote Sugar 49,2,3.7
S00050,Flour Mills Nigeria 50,13,3.5
S00051,Nestle Nigeria 51,1,4.3
S00052,Dufil Prima Foods 52,8,4.1
S00053,Flour Mills Nigeria 53,5,3.6
S00054,Dufil Prima Foods 54,3,3.9
S00055,Nestle Nigeria 55,2,4.8
S00056,Flour Mills Nigeria 56,12,4.9
S00057,Dufil Prima Foods 57,6,3.7
S00058,Dufil Prima Foods 58,8,4.4
S00059,Nestle Nigeria 59,10,4.1
S00060,Dangote Sugar 60,9,4.1
S00061,Nestle Nigeria 61,2,4.9
S00062,Nestle Nigeria 62,5,4.8
S00063,Nestle Nigeria 63,1,4.2
S00064,Flour Mills Nigeria 64,5,3.8
S00065,Flour Mills Nigeria 65,8,4.2
S00066,Nestle Nigeria 66,3,4.3
S00067,Dangote Sugar 67,10,4.9
S00068,Dangote Sugar 68,9,4.3
S00069,Dufil Prima Foods 69,8,4.9
S00070,Nestle Nigeria 70,9,4.6
S00071,Flour Mills Nigeria 71,2,4.2
S00072,Dufil Prima Foods 72,12,4.5
S00073,Dufil Prima Foods 73,4,4.9
S00074,Flour Mills Nigeria 74,2,3.7
S00075,Nestle Nigeria 75,1,4.5
S00076,Nestle Nigeria 76,11,4.9
S00077,Nestle Nigeria 77,4,4.3
S00078,Dangote Sugar 78,3,3.7
S00079,Dufil Prima Foods 79,8,4.0
S00080,Dangote Sugar 80,5,4.7
S00081,Flour Mills Nigeria 81,7,4.5
S00082,Nestle Nigeria 82,5,3.9
S00083,Dufil Prima Foods 83,9,3.9
S00084,Flour Mills Nigeria 84,5,4.8
S00085,Nestle Nigeria 85,7,3.7
S00086,Dangote Sugar 86,6,4.4
S00087,Nestle Nigeria 87,8,4.4
S00088,Nestle Nigeria 88,11,4.4
S00089,Dufil Prima Foods 89,1,3.7
S00090,Dangote Sugar 90,11,4.1
S00091,Dufil Prima Foods 91,10,4.7
S00092,Flour Mills Nigeria 92,5,4.2
S00093,Dufil Prima Foods 93,2,3.6
S00094,Dufil Prima Foods 94,11,4.6
S00095,Dangote Sugar 95,5,3.9
S00096,Flour Mills Nigeria 96,13,4.7
S00097,Nestle Nigeria 97,8,4.2
S00098,Flour Mills Nigeria 98,3,4.4
S00099,Dufil Prima Foods 99,8,4.9
S00100,Flour Mills Nigeria 100,6,3.5
S00101,Dangote Sugar 101,7,4.7
S00102,Nestle Nigeria 102,4,4.9
S00103,Nestle Nigeria 103,13,3.9
S00104,Dangote Sugar 104,13,4.0
S00105,Dufil Prima Foods 105,1,3.9
S00106,Dangote Sugar 106,14,3.6
S00107,Flour Mills Nigeria 107,7,4.0
S00108,Dufil Prima Foods 108,12,3.9
S00109,Nestle Nigeria 109,11,4.1
S00110,Flour Mills Nigeria 110,13,3.7
S00111,Dufil Prima Foods 111,9,4.0
S00112,Nestle Nigeria 112,6,4.4
S00113,Nestle Nigeria 113,11,4.2
S00114,Flour Mills Nigeria 114,7,4.4
S00115,Nestle Nigeria 115,13,3.7
S00116,Nestle Nigeria 116,6,3.9
S00117,Dangote Sugar 117,2,4.3
S00118,Dangote Sugar 118,13,4.8
S00119,Dufil Prima Foods 119,2,4.2
S00120,Dangote Sugar 120,11,4.2
S00121,Nestle Nigeria 121,11,3.9
S00122,Dangote Sugar 122,14,4.3
S00123,Nestle Nigeria 123,7,4.1
S00124,Dufil Prima Foods 124,10,4.3
S00125,Nestle Nigeria 125,11,3.9
S00126,Nestle Nigeria 126,12,4.7
S00127,Nestle Nigeria 127,8,4.3
S00128,Dufil Prima Foods 128,14,4.5
S00129,Dangote Sugar 129,14,4.5
S00130,Nestle Nigeria 130,14,4.1
S00131,Dufil Prima Foods 131,7,4.5
S00132,Flour Mills Nigeria 132,9,4.9
S00133,Dufil Prima Foods 133,10,4.1
S00134,Dangote Sugar 134,4,3.6
S00135,Flour Mills Nigeria 135,3,4.7
S00136,Dufil Prima Foods 136,6,3.5
S00137,Nestle Nigeria 137,12,4.1
S00138,Flour Mills Nigeria 138,5,4.2
S00139,Flour Mills Nigeria 139,10,3.7
S00140,Flour Mills Nigeria 140,4,4.8
S00141,Dufil Prima Foods 141,13,3.6
S00142,Nestle Nigeria 142,11,3.7
S00143,Dufil Prima Foods 143,5,4.2
S00144,Nestle Nigeria 144,8,4.7
S00145,Nestle Nigeria 145,10,3.8
S00146,Nestle Nigeria 146,11,4.1
S00147,Dangote Sugar 147,14,4.4
S00148,Dangote Sugar 148,3,4.2
S00149,Dufil Prima Foods 149,12,4.8
S00150,Nestle Nigeria 150,12,4.6
S00151,Nestle Nigeria 151,7,4.6
S00152,Nestle Nigeria 152,3,4.6
S00153,Flour Mills Nigeria 153,11,4.2
S00154,Flour Mills Nigeria 154,13,5.0
S00155,Dangote Sugar 155,10,4.3
S00156,Dufil Prima Foods 156,2,4.5
S00157,Flour Mills Nigeria 157,10,4.7
S00158,Flour Mills Nigeria 158,10,4.3
S00159,Flour Mills Nigeria 159,5,3.5
S00160,Nestle Nigeria 160,4,4.1
S00161,Nestle Nigeria 161,8,3.7
S00162,Dangote Sugar 162,13,4.0
S00163,Nestle Nigeria 163,3,4.2
S00164,Dangote Sugar 164,3,4.1
S00165,Nestle Nigeria 165,13,3.7
S00166,Dufil Prima Foods 166,3,3.8
S00167,Nestle Nigeria 167,2,4.7
S00168,Dangote Sugar 168,4,3.7
S00169,Flour Mills Nigeria 169,13,3.6
S00170,Nestle Nigeria 170,13,4.8
S00171,Dufil Prima Foods 171,5,4.0
S00172,Flour Mills Nigeria 172,12,4.5
S00173,Dangote Sugar 173,14,4.6
S00174,Flour Mills Nigeria 174,7,3.5
S00175,Dufil Prima Foods 175,3,4.7
S00176,Dangote Sugar 176,14,4.4
S00177,Dangote Sugar 177,2,3.8
S00178,Dufil Prima Foods 178,7,4.7
S00179,Flour Mills Nigeria 179,12,4.9
S00180,Dufil Prima Foods 180,6,4.8
S00181,Dufil Prima Foods 181,7,4.6
S00182,Dufil Prima Foods 182,2,5.0
S00183,Flour Mills Nigeria 183,9,3.6
S00184,Nestle Nigeria 184,11,3.5
S00185,Nestle Nigeria 185,4,4.6
S00186,Flour Mills Nigeria 186,10,4.6
S00187,Dangote Sugar 187,7,4.0
S00188,Dangote Sugar 188,14,3.6
S00189,Dufil Prima Foods 189,4,4.1
S00190,Dangote Sugar 190,13,3.6
S00191,Dufil Prima Foods 191,8,4.8
S00192,Dufil Prima Foods 192,11,4.8
S00193,Dangote Sugar 193,10,4.4
S00194,Flour Mills Nigeria 194,10,4.1
S00195,Dufil Prima Foods 195,10,4.2
S00196,Flour Mills Nigeria 196,12,3.8
S00197,Nestle Nigeria 197,7,3.9
S00198,Dangote Sugar 198,10,4.6
S00199,Dangote Sugar 199,11,3.7
S00200,Dangote Sugar 200,4,4.2
S00201,Flour Mills Nigeria 201,12,3.9
S00202,Dangote Sugar 202,3,3.9
S00203,Flour Mills Nigeria 203,14,4.1
S00204,Dufil Prima Foods 204,4,3.7
S00205,Dufil Prima Foods 205,8,4.6
S00206,Dangote Sugar 206,3,3.8
S00207,Flour Mills Nigeria 207,14,3.8
S00208,Dangote Sugar 208,3,5.0
S00209,Flour Mills Nigeria 209,13,4.6
S00210,Dufil Prima Foods 210,4,5.0
S00211,Flour Mills Nigeria 211,11,4.6
S00212,Flour Mills Nigeria 212,4,3.9
S00213,Nestle Nigeria 213,2,4.2
S00214,Flour Mills Nigeria 214,1,4.5
S00215,Dangote Sugar 215,9,3.9
S00216,Dangote Sugar 216,1,4.3
S00217,Nestle Nigeria 217,4,3.8
S00218,Flour Mills Nigeria 218,1,3.9
S00219,Nestle Nigeria 219,12,4.9
S00220,Flour Mills Nigeria 220,4,4.0
S00221,Dufil Prima Foods 221,12,3.8
S00222,Dangote Sugar 222,4,3.6
S00223,Dufil Prima Foods 223,2,4.4
S00224,Flour Mills Nigeria 224,7,3.8
S00225,Nestle Nigeria 225,13,4.0
S00226,Dufil Prima Foods 226,11,3.6
S00227,Dangote Sugar 227,14,3.9
S00228,Nestle Nigeria 228,4,4.9
S00229,Nestle Nigeria 229,6,4.0
S00230,Dufil Prima Foods 230,13,4.1
S00231,Nestle Nigeria 231,12,4.5
S00232,Flour Mills Nigeria 232,7,4.9
S00233,Nestle Nigeria 233,10,4.9
S00234,Dangote Sugar 234,6,4.7
S00235,Flour Mills Nigeria 235,3,4.9
S00236,Dangote Sugar 236,6,4.2
S00237,Dufil Prima Foods 237,10,4.9
S00238,Flour Mills Nigeria 238,13,4.3
S00239,Flour Mills Nigeria 239,7,4.6
S00240,Dangote Sugar 240,5,4.4
S00241,Nestle Nigeria 241,2,4.9
S00242,Dangote Sugar 242,4,4.6
