warehouse_id,warehouse_name,city,capacity
W00001,Central Warehouse 1,Ogun,13238
W00002,Central Warehouse 2,Ibadan,78247
W00003,Supply Center 3,Ibadan,86739
W00004,Distribution Hub 4,Ogun,19435
W00005,Supply Center 5,Ibadan,39272
W00006,Supply Center 6,Ogun,97954
W00007,Supply Center 7,Ogun,23787
W00008,Central Warehouse 8,Abuja,68428
W00009,Supply Center 9,Kano,15395
W00010,Central Warehouse 10,Ibadan,95876
W00011,Central Warehouse 11,Port Harcourt,77505
W00012,Supply Center 12,Kano,87795
W00013,Supply Center 13,Kano,36381
W00014,Supply Center 14,Kano,7898
W00015,Supply Center 15,Port Harcourt,91167
W00016,Supply Center 16,Lagos,54127
W00017,Supply Center 17,Abuja,22057
W00018,Central Warehouse 18,Ogun,53673
W00019,Supply Center 19,Ogun,49785
W00020,Central Warehouse 20,Kano,6735
W00021,Distribution Hub 21,Ogun,68240
W00022,Distribution Hub 22,Lagos,42593
W00023,Central Warehouse 23,Ibadan,83375
W00024,Central Warehouse 24,Ibadan,56604
W00025,Distribution Hub 25,Port Harcourt,38416
W00026,Central Warehouse 26,Ibadan,38714
W00027,Supply Center 27,Lagos,81656
W00028,Distribution Hub 28,Abuja,13520
W00029,Distribution Hub 29,Ibadan,49139
W00030,Distribution Hub 30,Abuja,26609
W00031,Distribution Hub 31,Port Harcourt,6055
W00032,Central Warehouse 32,Port Harcourt,64495
W00033,Central Warehouse 33,Kano,43745
W00034,Central Warehouse 34,Ogun,2136
W00035,Central Warehouse 35,Abuja,25773
W00036,Distribution Hub 36,Lagos,78602
W00037,Distribution Hub 37,Lagos,23912
W00038,Supply Center 38,Port Harcourt,76143
W00039,Central Warehouse 39,Abuja,20505
W00040,Supply Center 40,Ogun,51762
W00041,Central Warehouse 41,Port Harcourt,15582
W00042,Distribution Hub 42,Abuja,78807
W00043,Distribution Hub 43,Abuja,54292
W00044,Distribution Hub 44,Ogun,27413
W00045,Distribution Hub 45,Port Harcourt,94693
W00046,Supply Center 46,Ibadan,5847
